age	agir+V+PRS+3+SG
protegíamos	proteger+V+IMPF+1+PL

protegias	proteger+V+IMPF+2+SG

protegíeis	proteger+V+IMPF+2+PL

proteja	proteger+V+SBJR+1+SG
proteja	proteger+V+SBJR+3+SG

protejais	proteger+V+SBJR+2+PL

protejam	proteger+V+SBJR+3+PL

protejamos	proteger+V+SBJR+1+PL

protejas	proteger+V+SBJR+2+SG

protejo	proteger+V+PRS+1+SG

seca	secar+V+PRS+3+SG

secais	secar+V+PRS+2+PL

secam	secar+V+PRS+3+PL

secamos	secar+V+PRS+1+PL

secar	secar+V+SBJF+1+SG
secar	secar+V+SBJF+3+SG

secara	secar+V+PQP+1+SG
secara	secar+V+PQP+3+SG

secará	secar+V+FUT+3+SG

secaram	secar+V+PQP+3+PL

secáramos	secar+V+PQP+1+PL

secarão	secar+V+FUT+3+PL

secaras	secar+V+PQP+2+SG

secarás	secar+V+FUT+2+SG

secardes	secar+V+SBJF+2+PL

secarei	secar+V+FUT+1+SG

secareis	secar+V+FUT+2+PL

secáreis	secar+V+PQP+2+PL

secarem	secar+V+SBJF+3+PL

secaremos	secar+V+FUT+1+PL

secares	secar+V+SBJF+2+SG

secaria	secar+V+COND+1+SG
secaria	secar+V+COND+3+SG

secariam	secar+V+COND+3+PL

secaríamos	secar+V+COND+1+PL

secarias	secar+V+COND+2+SG

secaríeis	secar+V+COND+2+PL

secarmos	secar+V+SBJF+1+PL

secas	secar+V+PRS+2+SG

secasse	secar+V+SBJP+1+SG
secasse	secar+V+SBJP+3+SG

secásseis	secar+V+SBJP+2+PL

secassem	secar+V+SBJP+3+PL

secássemos	secar+V+SBJP+1+PL

secasses	secar+V+SBJP+2+SG

secava	secar+V+IMPF+1+SG
secava	secar+V+IMPF+3+SG

secavam	secar+V+IMPF+3+PL

secávamos	secar+V+IMPF+1+PL

secavas	secar+V+IMPF+2+SG

secáveis	secar+V+IMPF+2+PL

seco	secar+V+PRS+1+SG

seque	secar+V+SBJR+1+SG
seque	secar+V+SBJR+3+SG

sequeis	secar+V+SBJR+2+PL

sequem	secar+V+SBJR+3+PL

sequemos	secar+V+SBJR+1+PL

seques	secar+V+SBJR+2+SG

teça	tecer+V+SBJR+1+SG
teça	tecer+V+SBJR+3+SG

teçais	tecer+V+SBJR+2+PL

teçam	tecer+V+SBJR+3+PL

teçamos	tecer+V+SBJR+1+PL

teças	tecer+V+SBJR+2+SG

tece	tecer+V+PRS+3+SG

teceis	tecer+V+PRS+2+PL

tecem	tecer+V+PRS+3+PL

tecemos	tecer+V+PRS+1+PL

tecer	tecer+V+SBJF+1+SG
tecer	tecer+V+SBJF+3+SG

tecera	tecer+V+PQP+1+SG
tecera	tecer+V+PQP+3+SG

tecerá	tecer+V+FUT+3+SG

teceram	tecer+V+PQP+3+PL

tecêramos	tecer+V+PQP+1+PL

tecerão	tecer+V+FUT+3+PL

teceras	tecer+V+PQP+2+SG

tecerás	tecer+V+FUT+2+SG

tecerdes	tecer+V+SBJF+2+PL

tecerei	tecer+V+FUT+1+SG

tecereis	tecer+V+FUT+2+PL

tecêreis	tecer+V+PQP+2+PL

tecerem	tecer+V+SBJF+3+PL

teceremos	tecer+V+FUT+1+PL

teceres	tecer+V+SBJF+2+SG

teceria	tecer+V+COND+1+SG
teceria	tecer+V+COND+3+SG

teceriam	tecer+V+COND+3+PL

teceríamos	tecer+V+COND+1+PL

tecerias	tecer+V+COND+2+SG

teceríeis	tecer+V+COND+2+PL

tecermos	tecer+V+SBJF+1+PL

teces	tecer+V+PRS+2+SG

tecesse	tecer+V+SBJP+1+SG
tecesse	tecer+V+SBJP+3+SG

tecêsseis	tecer+V+SBJP+2+PL

tecessem	tecer+V+SBJP+3+PL

tecêssemos	tecer+V+SBJP+1+PL

tecesses	tecer+V+SBJP+2+SG

tecia	tecer+V+IMPF+1+SG
tecia	tecer+V+IMPF+3+SG

teciam	tecer+V+IMPF+3+PL

tecíamos	tecer+V+IMPF+1+PL

tecias	tecer+V+IMPF+2+SG

tecíeis	tecer+V+IMPF+2+PL

teço	tecer+V+PRS+1+SG

venda	vender+V+SBJR+1+SG
venda	vender+V+SBJR+3+SG

vendais	vender+V+SBJR+2+PL

vendam	vender+V+SBJR+3+PL

vendamos	vender+V+SBJR+1+PL

vendas	vender+V+SBJR+2+SG

vende	vender+V+PRS+3+SG

vendeis	vender+V+PRS+2+PL

vendem	vender+V+PRS+3+PL

vendemos	vender+V+PRS+1+PL

vender	vender+V+SBJF+1+SG
vender	vender+V+SBJF+3+SG

vendera	vender+V+PQP+1+SG
vendera	vender+V+PQP+3+SG

venderá	vender+V+FUT+3+SG

venderam	vender+V+PQP+3+PL

vendêramos	vender+V+PQP+1+PL

venderão	vender+V+FUT+3+PL

venderas	vender+V+PQP+2+SG

venderás	vender+V+FUT+2+SG

venderdes	vender+V+SBJF+2+PL

venderei	vender+V+FUT+1+SG

vendereis	vender+V+FUT+2+PL

vendêreis	vender+V+PQP+2+PL

venderem	vender+V+SBJF+3+PL

venderemos	vender+V+FUT+1+PL

venderes	vender+V+SBJF+2+SG

venderia	vender+V+COND+1+SG
venderia	vender+V+COND+3+SG

venderiam	vender+V+COND+3+PL

venderíamos	vender+V+COND+1+PL

venderias	vender+V+COND+2+SG

venderíeis	vender+V+COND+2+PL

vendermos	vender+V+SBJF+1+PL

vendes	vender+V+PRS+2+SG

vendesse	vender+V+SBJP+1+SG
vendesse	vender+V+SBJP+3+SG

vendêsseis	vender+V+SBJP+2+PL

vendessem	vender+V+SBJP+3+PL

vendêssemos	vender+V+SBJP+1+PL

vendesses	vender+V+SBJP+2+SG

vendia	vender+V+IMPF+1+SG
vendia	vender+V+IMPF+3+SG

vendiam	vender+V+IMPF+3+PL

vendíamos	vender+V+IMPF+1+PL

vendias	vender+V+IMPF+2+SG

vendíeis	vender+V+IMPF+2+PL

vendo	vender+V+PRS+1+SG

