age	agir+V+PRS+3+SG
secas	secar+V+PRS+2+SG
secava	secar+V+IMPF+3+SG
secava	secar+V+IMPF+1+SG
secavam	secar+V+IMPF+3+PL
secavas	secar+V+IMPF+2+SG
seco	secar+V+PRS+1+SG
secávamos	secar+V+IMPF+1+PL
secáveis	secar+V+IMPF+2+PL
seque	secar+V+SBJR+3+SG
seque	secar+V+SBJR+1+SG
sequeis	secar+V+SBJR+2+PL
sequem	secar+V+SBJR+3+PL
sequemos	secar+V+SBJR+1+PL
seques	secar+V+SBJR+2+SG
teço	tecer+V+PRS+1+SG
teças	tecer+V+SBJR+2+SG
teçamos	tecer+V+SBJR+1+PL
teçam	tecer+V+SBJR+3+PL
teçais	tecer+V+SBJR+2+PL
teça	tecer+V+SBJR+1+SG
teça	tecer+V+SBJR+3+SG
tecíeis	tecer+V+IMPF+2+PL
tecíamos	tecer+V+IMPF+1+PL
tecias	tecer+V+IMPF+2+SG
teciam	tecer+V+IMPF+3+PL
tecia	tecer+V+IMPF+1+SG
tecia	tecer+V+IMPF+3+SG
teces	tecer+V+PRS+2+SG
teceríeis	tecer+V+COND+2+PL
teceríamos	tecer+V+COND+1+PL
tecerão	tecer+V+FUT+3+PL
tecerás	tecer+V+FUT+2+SG
tecerá	tecer+V+FUT+3+SG
tecerias	tecer+V+COND+2+SG
teceriam	tecer+V+COND+3+PL
teceria	tecer+V+COND+1+SG
teceria	tecer+V+COND+3+SG
teceremos	tecer+V+FUT+1+PL
tecereis	tecer+V+FUT+2+PL
tecerei	tecer+V+FUT+1+SG
tecemos	tecer+V+PRS+1+PL
tecem	tecer+V+PRS+3+PL
teceis	tecer+V+PRS+2+PL
tece	tecer+V+PRS+3+SG
compres	comprar+V+SBJR+2+SG
compremos	comprar+V+SBJR+1+PL
comprem	comprar+V+SBJR+3+PL
compreis	comprar+V+SBJR+2+PL
compre	comprar+V+SBJR+1+SG
compre	comprar+V+SBJR+3+SG
vendas	vender+V+SBJR+2+SG
vendamos	vender+V+SBJR+1+PL
vendam	vender+V+SBJR+3+PL
vendais	vender+V+SBJR+2+PL
venda	vender+V+SBJR+1+SG
venda	vender+V+SBJR+3+SG
compro	comprar+V+PRS+1+SG
compras	comprar+V+PRS+2+SG
compramos	comprar+V+PRS+1+PL
compram	comprar+V+PRS+3+PL
comprais	comprar+V+PRS+2+PL
compra	comprar+V+PRS+3+SG
vendo	vender+V+PRS+1+SG
vendes	vender+V+PRS+2+SG
vendemos	vender+V+PRS+1+PL
vendem	vender+V+PRS+3+PL
vendeis	vender+V+PRS+2+PL
vende	vender+V+PRS+3+SG
compraríeis	comprar+V+COND+2+PL
compraríamos	comprar+V+COND+1+PL
comprarias	comprar+V+COND+2+SG
comprariam	comprar+V+COND+3+PL
compraria	comprar+V+COND+1+SG
compraria	comprar+V+COND+3+SG
venderíeis	vender+V+COND+2+PL
venderíamos	vender+V+COND+1+PL
venderias	vender+V+COND+2+SG
venderiam	vender+V+COND+3+PL
venderia	vender+V+COND+1+SG
venderia	vender+V+COND+3+SG
compráveis	comprar+V+IMPF+2+PL
comprávamos	comprar+V+IMPF+1+PL
compravas	comprar+V+IMPF+2+SG
compravam	comprar+V+IMPF+3+PL
comprava	comprar+V+IMPF+1+SG
comprava	comprar+V+IMPF+3+SG
vendíeis	vender+V+IMPF+2+PL
vendíamos	vender+V+IMPF+1+PL
vendias	vender+V+IMPF+2+SG
vendiam	vender+V+IMPF+3+PL
vendia	vender+V+IMPF+1+SG
vendia	vender+V+IMPF+3+SG
comprarão	comprar+V+FUT+3+PL
comprarás	comprar+V+FUT+2+SG
comprará	comprar+V+FUT+3+SG
compraremos	comprar+V+FUT+1+PL
comprareis	comprar+V+FUT+2+PL
comprarei	comprar+V+FUT+1+SG
venderão	vender+V+FUT+3+PL
venderás	vender+V+FUT+2+SG
venderá	vender+V+FUT+3+SG
venderemos	vender+V+FUT+1+PL
vendereis	vender+V+FUT+2+PL
venderei	vender+V+FUT+1+SG
partíssemos	partir+V+SBJP+1+PL
partísseis	partir+V+SBJP+2+PL
partíreis	partir+V+PQP+2+PL
partíramos	partir+V+PQP+1+PL
partíeis	partir+V+IMPF+2+PL
partíamos	partir+V+IMPF+1+PL
parto	partir+V+PRS+1+SG
partisses	partir+V+SBJP+2+SG
partissem	partir+V+SBJP+3+PL
partisse	partir+V+SBJP+1+SG
partisse	partir+V+SBJP+3+SG
partis	partir+V+PRS+2+PL
partiríeis	partir+V+COND+2+PL
partiríamos	partir+V+COND+1+PL
partirão	partir+V+FUT+3+PL
partirás	partir+V+FUT+2+SG
partirá	partir+V+FUT+3+SG
partirmos	partir+V+SBJF+1+PL
partirias	partir+V+COND+2+SG
partiriam	partir+V+COND+3+PL
partiria	partir+V+COND+1+SG
partiria	partir+V+COND+3+SG
partires	partir+V+SBJF+2+SG
partiremos	partir+V+FUT+1+PL
partirem	partir+V+SBJF+3+PL
partireis	partir+V+FUT+2+PL
partirei	partir+V+FUT+1+SG
partirdes	partir+V+SBJF+2+PL
partiras	partir+V+PQP+2+SG
partiram	partir+V+PQP+3+PL
partira	partir+V+PQP+1+SG
partira	partir+V+PQP+3+SG
partir	partir+V+SBJF+1+SG
partir	partir+V+SBJF+3+SG
partimos	partir+V+PRS+1+PL
partias	partir+V+IMPF+2+SG
partiam	partir+V+IMPF+3+PL
partia	partir+V+IMPF+1+SG
partia	partir+V+IMPF+3+SG
partes	partir+V+PRS+2+SG
partem	partir+V+PRS+3+PL
parte	partir+V+PRS+3+SG
partas	partir+V+SBJR+2+SG
partamos	partir+V+SBJR+1+PL
partam	partir+V+SBJR+3+PL
partais	partir+V+SBJR+2+PL
parta	partir+V+SBJR+1+SG
parta	partir+V+SBJR+3+SG
agir	agir+V+SBJF+3+SG
agir	agir+V+SBJF+1+SG
agira	agir+V+PQP+3+SG
agira	agir+V+PQP+1+SG
agiram	agir+V+PQP+3+PL
agiras	agir+V+PQP+2+SG
agirdes	agir+V+SBJF+2+PL
agirem	agir+V+SBJF+3+PL
agires	agir+V+SBJF+2+SG
agirmos	agir+V+SBJF+1+PL
agisse	agir+V+SBJP+3+SG
agisse	agir+V+SBJP+1+SG
agissem	agir+V+SBJP+3+PL
agisses	agir+V+SBJP+2+SG
agíramos	agir+V+PQP+1+PL
agíreis	agir+V+PQP+2+PL
agísseis	agir+V+SBJP+2+PL
agíssemos	agir+V+SBJP+1+PL
comprássemos	comprar+V+SBJP+1+PL
comprásseis	comprar+V+SBJP+2+PL
compráreis	comprar+V+PQP+2+PL
compráramos	comprar+V+PQP+1+PL
comprasses	comprar+V+SBJP+2+SG
comprassem	comprar+V+SBJP+3+PL
comprasse	comprar+V+SBJP+1+SG
comprasse	comprar+V+SBJP+3+SG
comprarmos	comprar+V+SBJF+1+PL
comprares	comprar+V+SBJF+2+SG
comprarem	comprar+V+SBJF+3+PL
comprardes	comprar+V+SBJF+2+PL
compraras	comprar+V+PQP+2+SG
compraram	comprar+V+PQP+3+PL
comprara	comprar+V+PQP+1+SG
comprara	comprar+V+PQP+3+SG
comprar	comprar+V+SBJF+1+SG
comprar	comprar+V+SBJF+3+SG
coçássemos	coçar+V+SBJP+1+PL
coçásseis	coçar+V+SBJP+2+PL
coçáreis	coçar+V+PQP+2+PL
coçáramos	coçar+V+PQP+1+PL
coçasses	coçar+V+SBJP+2+SG
coçassem	coçar+V+SBJP+3+PL
coçasse	coçar+V+SBJP+1+SG
coçasse	coçar+V+SBJP+3+SG
coçarmos	coçar+V+SBJF+1+PL
coçares	coçar+V+SBJF+2+SG
coçarem	coçar+V+SBJF+3+PL
coçardes	coçar+V+SBJF+2+PL
coçaras	coçar+V+PQP+2+SG
coçaram	coçar+V+PQP+3+PL
coçara	coçar+V+PQP+1+SG
coçara	coçar+V+PQP+3+SG
coçar	coçar+V+SBJF+1+SG
coçar	coçar+V+SBJF+3+SG
pagássemos	pagar+V+SBJP+1+PL
pagásseis	pagar+V+SBJP+2+PL
pagáreis	pagar+V+PQP+2+PL
pagáramos	pagar+V+PQP+1+PL
pagasses	pagar+V+SBJP+2+SG
pagassem	pagar+V+SBJP+3+PL
pagasse	pagar+V+SBJP+1+SG
pagasse	pagar+V+SBJP+3+SG
pagarmos	pagar+V+SBJF+1+PL
pagares	pagar+V+SBJF+2+SG
pagarem	pagar+V+SBJF+3+PL
pagardes	pagar+V+SBJF+2+PL
pagaras	pagar+V+PQP+2+SG
pagaram	pagar+V+PQP+3+PL
pagara	pagar+V+PQP+1+SG
pagara	pagar+V+PQP+3+SG
pagar	pagar+V+SBJF+1+SG
pagar	pagar+V+SBJF+3+SG
secar	secar+V+SBJF+3+SG
secar	secar+V+SBJF+1+SG
secara	secar+V+PQP+3+SG
secara	secar+V+PQP+1+SG
secaram	secar+V+PQP+3+PL
secaras	secar+V+PQP+2+SG
secardes	secar+V+SBJF+2+PL
secarem	secar+V+SBJF+3+PL
secares	secar+V+SBJF+2+SG
secarmos	secar+V+SBJF+1+PL
secasse	secar+V+SBJP+3+SG
secasse	secar+V+SBJP+1+SG
secassem	secar+V+SBJP+3+PL
secasses	secar+V+SBJP+2+SG
secáramos	secar+V+PQP+1+PL
secáreis	secar+V+PQP+2+PL
secásseis	secar+V+SBJP+2+PL
secássemos	secar+V+SBJP+1+PL
tecêssemos	tecer+V+SBJP+1+PL
tecêsseis	tecer+V+SBJP+2+PL
tecêreis	tecer+V+PQP+2+PL
tecêramos	tecer+V+PQP+1+PL
tecesses	tecer+V+SBJP+2+SG
tecessem	tecer+V+SBJP+3+PL
tecesse	tecer+V+SBJP+1+SG
tecesse	tecer+V+SBJP+3+SG
tecermos	tecer+V+SBJF+1+PL
teceres	tecer+V+SBJF+2+SG
tecerem	tecer+V+SBJF+3+PL
tecerdes	tecer+V+SBJF+2+PL
teceras	tecer+V+PQP+2+SG
teceram	tecer+V+PQP+3+PL
tecera	tecer+V+PQP+1+SG
tecera	tecer+V+PQP+3+SG
tecer	tecer+V+SBJF+1+SG
tecer	tecer+V+SBJF+3+SG
vendêssemos	vender+V+SBJP+1+PL
vendêsseis	vender+V+SBJP+2+PL
vendêreis	vender+V+PQP+2+PL
vendêramos	vender+V+PQP+1+PL
vendesses	vender+V+SBJP+2+SG
vendessem	vender+V+SBJP+3+PL
vendesse	vender+V+SBJP+1+SG
vendesse	vender+V+SBJP+3+SG
vendermos	vender+V+SBJF+1+PL
venderes	vender+V+SBJF+2+SG
venderem	vender+V+SBJF+3+PL
venderdes	vender+V+SBJF+2+PL
venderas	vender+V+PQP+2+SG
venderam	vender+V+PQP+3+PL
vendera	vender+V+PQP+1+SG
vendera	vender+V+PQP+3+SG
vender	vender+V+SBJF+1+SG
vender	vender+V+SBJF+3+SG
